CSI_DATA,2649,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111316796,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-3,-9,-4,-8,-6,-8,-6,-8,-8,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-8,-8,-7,-8,-6,-6,-5,-5,-5,-3,-4,-1,-5,1,-5,3,-6,5,-7,7,-8,8,-9,8,-10,8,-11,8,-12,7,-12,6,0,0,-10,4,-9,3,-6,2,-5,2,-2,2,0,3,2,5,3,6,3,8,4,9,3,10,3,12,1,12,0,12,-1,11,-2,10,-2,9,-2,8,-2,6,-1,5,0,3,1,2,3,1,4,1,5,1,6,1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2650,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111344137,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-2,10,-1,10,-1,9,0,8,0,7,1,7,2,5,3,4,4,2,5,1,7,0,8,0,9,-1,10,-2,11,-1,11,-1,11,-1,10,0,10,0,8,0,6,-1,5,-1,3,-2,2,-3,0,-4,-1,-6,0,0,-2,-10,-3,-11,-3,-12,-2,-13,-1,-14,0,-14,1,-13,2,-11,2,-10,1,-8,0,-7,0,-5,-1,-3,-3,-2,-5,-1,-6,-1,-8,-1,-10,-1,-10,-2,-11,-3,-11,-3,-11,-4,-10,-4,-9,-5,-8,-5,-6,-4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2651,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111382519,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9,-1,8,-1,7,-2,6,-2,4,-3,3,-4,1,-5,0,-6,-1,-7,-2,-8,-3,-9,-3,-10,-4,-11,-3,-11,-3,-11,-3,-11,-2,-10,-2,-9,-2,-7,-2,-6,-2,-4,-3,-2,-4,0,-5,2,0,0,-8,5,-10,5,-11,5,-12,5,-12,4,-12,3,-12,3,-11,2,-10,1,-8,1,-6,0,-4,1,-2,1,0,2,1,3,2,5,3,6,4,7,4,8,4,9,3,10,2,10,1,9,0,8,0,8,-1,6,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2652,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111420692,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-10,7,-9,8,-8,7,-7,7,-6,6,-4,5,-2,5,0,4,2,3,4,3,6,2,8,2,9,2,11,2,11,3,11,3,12,3,11,3,9,3,8,2,6,2,5,1,3,-1,1,-2,-1,-4,-2,-6,0,0,-4,-10,-4,-12,-4,-13,-4,-14,-3,-14,-2,-14,-1,-13,-1,-12,0,-10,0,-8,0,-6,-1,-4,-2,-2,-3,0,-5,2,-6,3,-8,4,-9,5,-10,5,-11,4,-12,4,-12,3,-11,2,-10,2,-9,0,-7,0,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2653,68:dd:b7:b0:aa:3f,-39,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111420810,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-2,-8,-4,-8,-6,-8,-8,-8,-9,-8,-10,-8,-11,-8,-11,-8,-11,-8,-11,-8,-10,-8,-8,-7,-7,-5,-5,-4,-4,-2,-3,0,-2,3,-2,5,-1,7,-1,10,-2,11,-2,12,-3,13,-4,14,-5,13,-5,12,0,0,-5,9,-4,7,-3,5,-1,3,1,1,3,0,6,-1,8,-1,9,-1,11,0,12,0,13,1,13,2,12,3,11,4,10,4,8,4,7,3,5,2,3,1,2,-1,0,-3,0,-5,0,-6,0,-7,1,-8,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2654,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111494370,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-11,1,-10,2,-10,2,-9,2,-8,2,-7,2,-5,3,-4,3,-2,4,-1,5,0,6,1,7,2,8,2,9,2,9,3,10,3,10,2,10,1,9,1,8,1,6,1,5,1,3,2,1,3,0,4,-2,0,0,8,-4,9,-4,10,-4,12,-4,12,-3,12,-2,11,-1,10,-1,9,0,7,0,5,0,4,-1,2,-2,1,-3,0,-5,-1,-6,-1,-7,-1,-9,-1,-10,0,-11,0,-11,1,-11,2,-10,2,-9,3,-8,3,-7,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2655,68:dd:b7:b0:aa:3f,-39,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111494488,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-2,8,-1,8,0,8,1,9,2,9,3,9,3,10,3,10,3,11,3,10,3,9,2,8,2,7,2,5,2,3,3,2,4,0,5,-1,6,-3,8,-4,9,-4,11,-4,12,-3,12,-3,12,-2,12,-1,0,0,10,0,8,0,6,0,5,-1,3,-2,1,-4,0,-6,0,-8,1,-9,1,-11,2,-11,2,-12,4,-12,5,-12,6,-11,6,-9,6,-8,5,-7,4,-5,3,-5,1,-4,-1,-3,-2,-3,-4,-3,-4,-4,-5,-5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2656,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111569521,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,11,-4,10,-5,9,-4,8,-4,7,-4,5,-5,4,-5,1,-5,-1,-5,-2,-6,-5,-6,-6,-7,-7,-8,-8,-8,-9,-9,-9,-9,-9,-9,-8,-9,-7,-9,-7,-7,-6,-6,-5,-4,-4,-2,-3,0,-3,2,-3,5,0,0,-3,9,-4,10,-5,11,-6,12,-7,12,-8,11,-8,10,-8,8,-7,7,-6,5,-4,4,-2,2,-1,2,2,1,4,1,6,1,7,1,9,2,10,3,10,4,10,5,9,5,8,5,7,5,6,5,4,4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2657,68:dd:b7:b0:aa:3f,-39,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111599329,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,7,5,7,6,6,8,6,8,6,9,7,9,7,9,7,9,7,8,6,7,6,6,4,5,3,4,1,3,-1,3,-3,2,-5,2,-7,3,-9,3,-11,4,-12,5,-12,6,-12,6,-12,7,-11,0,0,7,-9,5,-7,4,-5,2,-4,-1,-3,-3,-3,-5,-3,-7,-4,-9,-5,-10,-6,-10,-7,-11,-8,-10,-9,-9,-10,-8,-10,-7,-9,-6,-9,-5,-8,-4,-6,-3,-4,-3,-3,-3,0,-3,2,-4,3,-5,3,-6,4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2658,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,111634949,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-10,-3,-10,-3,-10,-2,-9,-2,-8,-1,-7,0,-6,1,-5,1,-4,3,-4,4,-3,5,-2,7,-3,8,-2,9,-3,10,-2,10,-2,10,-3,10,-3,8,-3,7,-2,6,-1,5,0,4,1,3,3,2,4,1,0,0,8,0,10,1,11,1,11,2,11,3,11,4,10,5,9,5,8,4,6,4,4,3,3,1,2,0,2,-2,1,-4,2,-5,3,-7,3,-8,4,-9,5,-9,6,-9,6,-8,7,-8,6,-6,7,-5,6,-4,0,0,0,0,0,0,0,0,0,0]
