CSI_DATA,398,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,19742101,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,12,2,13,2,13,3,13,4,12,3,11,3,10,2,8,1,6,0,4,-1,3,-3,1,-5,0,-7,-1,-8,-1,-9,-1,-11,0,-12,-1,-12,0,-12,1,-11,1,-11,2,-10,2,-8,2,-7,1,0,0,-4,0,-2,-1,-1,-3,0,-4,2,-6,2,-8,2,-9,2,-10,1,-10,1,-11,1,-11,1,-10,0,-9,0,-9,0,-8,0,-7,0,-5,1,-4,1,-2,2,-1,3,1,3,3,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,399,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,19748982,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,5,-10,4,-7,4,-5,3,-3,4,0,4,2,5,4,6,6,7,7,8,8,9,8,9,8,10,7,10,6,9,5,8,4,7,3,6,2,4,2,2,1,0,2,-2,2,-4,3,-5,4,-6,5,-8,6,0,0,-8,8,-7,8,-7,8,-6,9,-5,8,-5,7,-4,6,-3,4,-2,2,-2,1,-2,-1,-2,-3,-3,-4,-3,-5,-4,-7,-5,-8,-6,-8,-6,-9,-7,-9,-7,-9,-7,-8,-6,-8,-5,-7,-4,-6,-3,-6,-2,-4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,400,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,19812473,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,11,-3,12,-4,13,-4,13,-5,12,-5,12,-5,11,-5,9,-5,7,-4,6,-3,4,-1,3,0,2,2,0,4,0,5,-1,7,-1,9,-1,10,0,11,1,11,1,11,2,10,2,10,2,9,2,7,2,6,0,0,0,3,-2,1,-3,0,-4,-1,-6,-2,-8,-2,-9,-2,-10,-3,-10,-3,-10,-3,-11,-2,-10,-2,-9,-2,-9,-1,-8,-1,-7,-1,-5,-1,-3,-2,-2,-2,0,-3,1,-4,2,-5,4,-5,4,-6,5,-6,6,-6,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,401,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,19813299,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-7,-10,-7,-11,-7,-13,-7,-13,-8,-12,-8,-11,-8,-10,-7,-9,-6,-8,-4,-6,-3,-5,-1,-4,1,-3,3,-2,5,-2,7,-3,8,-3,9,-4,10,-4,10,-4,10,-5,9,-6,9,-6,7,-6,6,-5,5,-5,0,0,3,-2,1,0,0,2,1,3,0,5,0,7,0,8,0,9,1,9,1,9,2,9,2,9,2,8,2,7,1,7,1,5,0,4,-1,3,-2,2,-3,1,-4,0,-5,-2,-6,-3,-7,-3,-8,-3,-8,-4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,402,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,19892304,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,4,-10,3,-8,3,-6,3,-3,4,-1,5,2,6,3,7,5,8,6,9,6,10,7,11,6,11,5,11,4,10,3,9,3,7,2,6,1,4,1,2,1,0,2,-2,2,-4,4,-4,5,-5,6,-6,7,0,0,-6,9,-6,10,-5,10,-5,10,-4,9,-3,8,-2,6,-2,5,-2,3,-2,1,-2,-1,-3,-2,-4,-3,-5,-5,-6,-6,-6,-7,-7,-7,-8,-7,-9,-7,-9,-7,-9,-7,-8,-6,-7,-6,-6,-5,-4,-4,-3,-4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,403,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,19919574,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,5,3,5,1,4,-2,4,-3,3,-5,4,-7,5,-9,6,-10,7,-9,8,-9,8,-9,9,-8,9,-7,9,-7,7,-4,7,-4,5,-3,3,-2,1,-3,-1,-3,-3,-3,-4,-4,-6,-5,-7,-6,-8,0,0,-8,-9,-8,-10,-9,-8,-8,-7,-9,-6,-8,-6,-5,-4,-5,-3,-4,-4,-3,-2,0,-2,2,-2,4,-3,5,-2,5,-3,7,-4,8,-4,8,-6,8,-6,9,-6,8,-5,7,-5,6,-5,5,-4,5,-2,4,-2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,404,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,19958276,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-10,-2,-8,-2,-6,-4,-3,-4,-2,-5,-1,-7,2,-7,0,-9,4,-13,-1,-7,-3,-6,-5,-5,-6,-5,-8,-6,-7,-7,-2,-11,-4,-7,-2,-8,0,-6,-3,-3,1,-1,5,-4,-1,0,-1,-1,0,-3,2,-5,0,0,7,-8,7,-9,6,-10,7,-8,5,-7,3,-9,1,-7,2,-5,1,-5,0,-2,0,-1,0,0,1,1,3,2,7,3,8,3,7,4,9,4,11,1,9,2,10,2,9,-1,6,2,4,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,405,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,19958394,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,9,5,10,6,10,7,10,6,10,6,10,5,10,5,9,4,7,3,5,3,3,3,1,2,-1,2,-3,2,-5,3,-6,4,-7,5,-8,6,-8,7,-8,7,-7,8,-7,8,-6,8,-5,7,-5,6,-4,5,0,0,-3,2,-2,0,-2,-2,-3,-4,-3,-5,-3,-6,-4,-7,-5,-8,-5,-9,-6,-9,-6,-9,-6,-8,-6,-7,-5,-7,-5,-6,-4,-5,-3,-4,-1,-4,0,-3,2,-2,3,-2,4,-1,5,0,6,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,406,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20063494,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-7,7,-8,8,-9,9,-9,10,-9,10,-8,9,-7,9,-6,8,-5,6,-5,5,-4,3,-3,1,-3,-2,-3,-3,-4,-5,-4,-6,-4,-7,-5,-8,-7,-9,-8,-9,-8,-9,-7,-8,-7,-9,-7,-7,-7,-5,-7,-4,0,0,-4,-4,0,-2,2,-2,3,-1,5,-3,7,-2,8,-3,8,-3,8,-3,8,-4,9,-4,7,-4,7,-4,6,-4,6,-3,5,-3,4,-1,3,-1,2,0,1,1,0,3,-1,5,-2,6,-3,6,-3,6,-3,6,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,407,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20096286,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-6,-10,-4,-8,-2,-6,0,-5,2,-4,4,-3,6,-3,8,-3,9,-4,11,-4,11,-5,11,-6,11,-6,10,-7,9,-7,7,-6,6,-6,4,-5,3,-3,2,-1,2,1,1,2,1,4,2,6,2,7,3,8,0,0,4,9,6,9,6,9,6,8,6,7,5,6,4,5,3,4,2,2,0,2,-1,1,-3,1,-5,1,-6,1,-7,1,-8,2,-9,3,-10,3,-10,4,-10,4,-9,4,-9,3,-8,3,-7,2,-6,1,-5,0,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,408,68:dd:b7:b0:aa:3f,-28,11,1,6,1,1,1,1,1,0,1,-97,0,11,2,20096921,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-12,-3,-13,-3,-14,-4,-14,-3,-14,-3,-14,-2,-13,-1,-11,-1,-9,-1,-7,-1,-5,-2,-3,-3,-1,-3,1,-4,2,-6,3,-7,4,-9,4,-10,4,-10,3,-11,2,-11,2,-11,2,-11,1,-10,1,-8,0,-7,0,0,1,-3,1,-2,2,0,3,2,4,3,5,4,6,4,7,5,8,6,8,5,8,5,8,4,7,4,7,3,6,3,5,3,4,2,2,2,0,2,-2,2,-4,2,-4,2,-6,3,-7,2,-8,2,-8,2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,409,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20166070,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-11,2,-13,2,-13,3,-13,3,-13,3,-12,3,-11,3,-10,3,-8,2,-7,2,-5,0,-4,-1,-3,-3,-2,-4,-1,-6,-1,-8,0,-9,-1,-10,-2,-11,-2,-11,-3,-11,-3,-11,-3,-10,-3,-9,-3,-8,-3,-6,0,0,-1,-4,0,-3,2,-2,3,0,5,0,6,0,7,1,8,0,9,1,9,0,9,0,9,-1,8,-1,7,-1,6,-1,5,0,4,0,2,0,1,1,0,2,-2,3,-2,4,-3,5,-4,5,-5,6,-5,6,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,410,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20168067,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,7,-8,6,-6,5,-4,4,-2,3,1,4,3,4,5,5,7,5,8,6,9,7,9,8,10,8,9,8,8,7,7,7,6,6,5,5,3,3,3,1,3,0,1,-3,1,-4,2,-6,3,-7,4,-8,5,0,0,-10,6,-9,6,-9,6,-9,7,-7,7,-5,6,-5,5,-3,4,-3,2,-3,0,-3,-2,-2,-2,-2,-5,-3,-6,-4,-7,-4,-8,-4,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-8,-5,-7,-4,-6,-3,-6,-1,-5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,411,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20244488,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,1,13,1,13,0,13,0,13,0,12,-1,10,-1,8,-1,7,-1,5,0,3,1,1,2,-1,3,-2,5,-3,7,-3,8,-3,9,-3,10,-2,11,-1,11,-1,10,0,10,0,9,0,8,0,6,0,0,-1,3,-2,1,-3,0,-5,-2,-6,-2,-7,-3,-8,-4,-9,-4,-10,-4,-10,-4,-10,-3,-10,-3,-9,-3,-8,-2,-7,-2,-6,-2,-5,-2,-3,-2,-2,-3,0,-3,1,-4,2,-5,3,-5,4,-6,5,-6,6,-6,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,412,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20278800,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-8,7,-7,5,-5,3,-5,1,-5,-1,-5,-4,-5,-6,-6,-8,-7,-9,-8,-9,-8,-10,-9,-10,-10,-9,-10,-8,-9,-7,-9,-6,-8,-5,-6,-4,-4,-3,-3,-3,-1,-3,1,-3,3,-4,4,-4,6,-5,7,-7,0,0,7,-9,7,-9,6,-9,6,-10,4,-9,4,-8,3,-7,2,-5,2,-3,2,-2,2,0,1,1,2,3,3,4,4,6,4,7,5,7,6,7,6,7,7,7,7,7,6,6,5,6,4,5,3,4,1,3,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,413,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20280519,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,9,6,10,7,10,8,10,8,11,8,11,7,10,6,9,5,7,4,5,3,3,3,1,3,-1,3,-3,3,-5,3,-6,5,-7,6,-8,7,-8,7,-9,8,-8,8,-7,8,-7,9,-6,8,-5,7,-4,6,0,0,-3,2,-2,0,-2,-2,-3,-4,-3,-5,-4,-7,-5,-8,-5,-9,-6,-9,-7,-9,-7,-9,-7,-8,-7,-7,-6,-7,-6,-6,-5,-5,-4,-4,-2,-4,0,-3,1,-3,3,-2,4,-2,6,-2,7,-1,8,-1,8,-1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,414,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20350471,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,6,2,5,0,4,-2,4,-4,3,-6,3,-8,3,-9,5,-11,5,-11,6,-11,6,-11,7,-10,8,-9,7,-7,7,-6,6,-5,5,-4,3,-3,1,-3,-1,-3,-3,-3,-4,-4,-7,-4,-8,-5,-8,0,0,-7,-9,-8,-10,-9,-9,-9,-8,-8,-7,-8,-6,-6,-5,-5,-4,-4,-3,-2,-3,0,-2,2,-2,4,-3,5,-3,6,-4,7,-4,8,-5,8,-6,9,-6,8,-7,8,-6,7,-6,7,-5,6,-4,5,-3,4,-2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,415,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,20364921,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-7,-10,-8,-11,-8,-12,-8,-12,-9,-11,-9,-11,-9,-10,-8,-8,-7,-7,-5,-5,-4,-5,-1,-4,1,-3,3,-3,5,-3,6,-4,8,-5,8,-5,10,-6,10,-6,9,-7,7,-7,8,-7,7,-7,7,-5,4,-5,0,0,3,-3,-1,-1,1,1,2,3,2,6,1,7,1,8,2,8,3,9,4,9,5,9,4,8,4,8,3,6,3,7,2,5,2,4,0,3,-1,2,-3,1,-5,1,-5,0,-7,-1,-8,-1,-9,-1,-9,-2,0,0,0,0,0,0,0,0,0,0]
