14,1,-13,1,-11,1,-10,1,-8,1,-6,0,-3,0,-1,-1,1,-1,3,-2,5,-3,7,-4,8,-5,0,0,10,-7,11,-7,11,-7,10,-8,9,-7,8,-6,7,-6,5,-5,4,-4,2,-2,0,-1,-2,1,-3,2,-5,3,-6,4,-7,5,-8,5,-8,6,-8,6,-8,7,-8,6,-8,5,-7,4,-6,3,-5,2,-3,1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2412,68:dd:b7:b0:aa:3f,-37,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,101132428,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-5,-10,-5,-12,-5,-13,-6,-13,-6,-14,-6,-13,-6,-13,-6,-11,-5,-9,-4,-8,-3,-6,-1,-3,0,-1,1,2,2,4,3,6,4,7,5,8,6,10,7,10,7,10,7,10,7,10,6,9,6,8,5,6,0,0,3,3,1,1,0,-1,-1,-3,-3,-5,-4,-7,-5,-8,-6,-9,-7,-10,-7,-11,-7,-11,-7,-11,-6,-10,-5,-9,-5,-9,-4,-8,-3,-6,-2,-4,-1,-3,0,-1,1,1,1,3,2,5,2,6,2,7,2,7,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2413,68:dd:b7:b0:aa:3f,-37,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,101132962,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,8,9,9,9,9,10,9,10,9,9,8,8,7,7,6,5,5,3,3,1,2,-1,0,-3,-1,-5,-3,-7,-4,-9,-5,-10,-5,-11,-6,-12,-6,-12,-5,-12,-6,-12,-5,-11,-4,-10,-4,-9,-3,0,0,-5,-2,-3,-1,0,0,2,0,4,1,6,2,8,2,9,3,11,3,11,3,11,3,10,3,10,3,9,3,8,3,6,2,4,1,3,1,1,0,-1,0,-3,-1,-4,-2,-6,-2,-7,-3,-7,-3,-7,-4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2414,68:dd:b7:b0:aa:3f,-36,11,1,6,1,1,1,1,1,0,0,-97,0,11,2,101210189,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-7,0,-4,-1,-2,-1,1,-2,3,-2,5,-3,7,-3,8,-4,11,-5,11,-5,11,-5,11,-5,11,-4,10,-4,9,-3,7,-3,6,-1,4,-1,2,1,0,1,-2,3,-3,4,-5,5,-7,6,-7,0,0,7,-9,8,-10,8,-10,8,-9,8,-9,7,-8,6,-7,5,-5,3,-4,1,-3,0,-2,-2,-1,-4,0,-5,0,-6,1,-8,1,-9,1,-10,1,-10,1,-10,1,-10,0,-10,0,-9,0,-8,-1,-6,-1,-4,-1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2415,68:dd:b7:b0:aa:3f,-37,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,101240227,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-6,-7,-4,-5,-3,-3,-1,-1,0,1,1,3,2,5,3,7,4,8,4,10,5,10,4,11,5,11,4,11,4,10,3,8,3,7,2,6,2,3,1,1,1,-1,0,-3,0,-5,0,-7,0,-9,0,-10,0,0,0,-12,0,-13,0,-13,0,-13,0,-11,0,-11,0,-9,0,-8,-1,-6,-1,-4,-2,-2,-2,0,-3,2,-4,3,-4,5,-5,5,-6,6,-6,7,-7,7,-7,7,-7,6,-7,6,-7,5,-6,4,-5,3,-4,2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2416,68:dd:b7:b0:aa:3f,-36,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,101244653,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-3,-9,-2,-7,-1,-4,-1,-1,0,1,0,3,1,5,1,7,2,9,2,11,1,11,1,12,2,13,1,12,1,11,1,10,1,8,1,6,1,4,1,2,1,-1,0,-3,0,-5,0,-7,0,-9,0,-10,0,0,0,-12,0,-14,0,-13,0,-13,0,-12,0,-11,0,-10,0,-8,-1,-6,-1,-4,-1,-1,-2,1,-3,2,-3,4,-4,5,-4,6,-5,8,-5,8,-5,8,-6,8,-6,8,-6,7,-6,6,-5,4,-4,3,-3,2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2417,68:dd:b7:b0:aa:3f,-37,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,101312864,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-3,8,-2,6,-2,3,-1,1,0,-2,0,-4,1,-7,1,-9,2,-11,2,-13,3,-13,3,-14,3,-14,3,-13,2,-12,2,-11,2,-9,1,-7,0,-5,0,-3,-1,-1,-2,2,-2,4,-3,6,-3,8,-4,9,0,0,-5,11,-4,12,-5,12,-5,12,-4,11,-4,10,-3,8,-2,6,-2,4,-1,2,0,0,1,-2,2,-3,3,-5,4,-6,5,-7,5,-8,6,-9,6,-9,6,-9,6,-8,6,-7,5,-6,4,-5,3,-3,2,-2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2418,68:dd:b7:b0:aa:3f,-37,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,101361198,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,7,-5,5,-3,2,-2,0,-1,-2,0,-5,0,-7,1,-9,2,-11,2,-12,2,-13,2,-14,1,-13,1,-13,1,-12,1,-11,1,-9,1,-7,0,-5,1,-3,1,0,1,2,1,4,1,6,2,8,2,9,2,0,0,11,3,11,3,11,4,11,4,10,3,9,3,8,2,6,2,5,1,3,0,1,-1,0,-2,-2,-4,-3,-5,-4,-6,-5,-7,-5,-8,-6,-9,-6,-10,-6,-10,-5,-10,-4,-9,-4,-8,-3,-7,-2,-6,-1,-4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2419,68:dd:b7:b0:aa:3f,-37,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,101365574,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,6,-6,4,-4,2,-3,0,-1,-2,0,-4,1,-6,2,-8,4,-10,4,-11,4,-12,5,-13,4,-12,4,-12,4,-11,4,-10,3,-9,3,-7,2,-4,2,-2,1,0,1,2,1,4,0,6,0,8,0,10,-1,0,0,12,0,12,0,12,0,12,0,11,0,10,0,8,0,6,-1,5,-1,3,-1,1,-1,-1,-2,-3,-3,-5,-4,-6,-4,-7,-5,-8,-6,-9,-7,-9,-7,-9,-7,-8,-7,-7,-7,-6,-6,-5,-5,-4,-5,-2,-4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2420,68:dd:b7:b0:aa:3f,-37,11,1,6,1,1,1,1,1,0,0,-97,0,11,2,101429567,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-1,-9,-1,-7,-1,-4,-1,-1,-2,1,-2,4,-2,6,-3,8,-4,10,-4,11,-5,11,-6,12,-6,12,-6,12,-5,10,-5,9,-4,7,-3,6,-2,4,-1,2,1,0,3,-1,4,-3,5,-4,7,-5,8,-6,0,0,10,-7,10,-8,11,-7,10,-7,10,-7,9,-6,7,-5,6,-4,4,-4,2,-3,0,-2,-2,-2,-4,-2,-6,-2,-7,-2,-8,-3,-10,-3,-10,-3,-10,-4,-10,-4,-10,-4,-9,-4,-8,-4,-7,-4,-5,-4,-4,-3,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,2421,68:dd:b7:b0:aa:3f,-37,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,101430066,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-6,6,-5,4,-2,2,0,1,1,-1,3,-3,5,-4,7,-5,9,-5,10,-6,11,-6,12,-6,12,-6,11,-6,10,-5,9,-5,8,-4,6,-3,3,-3,1,-3,-1,-2,-3,-2,-5,-2,-7,-2,-9,-2,-11,-2,0,0,-13,-3,-13,-2,-13,-2,-13,-3,-12,-3,-11,-3,-9,-2,-8,-2,-6,-2,-4,-1,-2,0,0,2,1,3,3,4,4,5,4,6,5,7,5,8,5,9,5,9,4,9,4,8,3,7,2,6,1,5,0,3,0,0,0,0,0,0,0,0,0,0]
